launch_id,mission_id,launch_date,year,quarter,launch_site,country,vehicle,payload_mass_kg,mission_type,success,cost_million_usd,orbit
LCH-0000001,MSN-0000001,2020-07-09,2020,3,Unknown Launch Site,Other,Ariane 5,2047.3,Deep Space,True,4.62,GEO
LCH-0000002,MSN-0000002,2011-09-24,2011,3,Guiana Space Centre,ESA,Soyuz,2077.6,Earth Observation,True,4.59,LEO
LCH-0000003,MSN-0000003,1989-01-26,1989,1,Tanegashima Space Center,Japan,Long March 2,2211.1,Weather,True,2.28,LEO
LCH-0000004,MSN-0000004,2011-03-09,2011,1,Baikonur Cosmodrome,Russia,Antares,5786.1,Military Reconnaissance,True,13.7,LEO
LCH-0000005,MSN-0000005,1997-03-17,1997,1,Baikonur Cosmodrome,Russia,Ariane 6,2214.9,Science,True,4.41,LEO
LCH-0000006,MSN-0000006,2003-05-18,2003,2,Plesetsk Cosmodrome,Russia,Falcon 9,1926.5,Science,True,4.67,GEO
LCH-0000007,MSN-0000007,1984-01-24,1984,1,Plesetsk Cosmodrome,Russia,Proton-M,5178.8,Communications,True,13.49,Heliocentric
LCH-0000008,MSN-0000008,1998-03-18,1998,1,Jiuquan Satellite Launch Center,China,PSLV,550.3,Earth Observation,True,0.3,HEO
LCH-0000009,MSN-0000009,2019-05-08,2019,2,Palmachim Air Base,Israel,Falcon Heavy,3261.4,Military Reconnaissance,True,9.6,LEO
LCH-0000010,MSN-0000010,2012-09-06,2012,3,Taiyuan Satellite Launch Center,China,Proton-M,1366.9,Earth Observation,True,3.86,GEO
LCH-0000011,MSN-0000011,2014-07-22,2014,3,Satish Dhawan Space Centre,India,Shavit,765.5,Technology Demonstration,True,1.03,LEO
LCH-0000012,MSN-0000012,1988-02-23,1988,1,Jiuquan Satellite Launch Center,China,Shavit,3707.3,Communications,True,9.82,LEO
LCH-0000013,MSN-0000013,2012-04-18,2012,2,Cape Canaveral,USA,Antares,6937.1,Communications,True,17.47,MEO
LCH-0000014,MSN-0000014,2001-07-14,2001,3,Kennedy Space Center,USA,Ariane 5,793.9,Earth Observation,True,2.35,SSO
LCH-0000015,MSN-0000015,1996-02-08,1996,1,Cape Canaveral,USA,Vulcan Centaur,3014.4,Communications,True,8.1,LEO
LCH-0000016,MSN-0000016,2019-02-02,2019,1,Cape Canaveral,USA,Shavit,16660.8,Crewed Mission,True,46.92,Lunar
LCH-0000017,MSN-0000017,2004-04-28,2004,2,Tanegashima Space Center,Japan,Long March 5,1526.9,Earth Observation,True,1.85,HEO
LCH-0000018,MSN-0000018,2017-11-23,2017,4,Guiana Space Centre,ESA,Ariane 6,516.9,Technology Demonstration,True,1.01,LEO
LCH-0000019,MSN-0000019,1973-10-16,1973,4,Xichang Satellite Launch Center,China,PSLV,1032.1,Weather,True,0.69,HEO
LCH-0000020,MSN-0000020,2000-10-08,2000,4,Kennedy Space Center,USA,H-IIA,2900.2,Deep Space,True,6.22,GEO
LCH-0000021,MSN-0000021,1991-11-23,1991,4,Jiuquan Satellite Launch Center,China,Long March 2,2632.4,Communications,True,7.43,LEO
LCH-0000022,MSN-0000022,2010-10-04,2010,4,Naro Space Center,South Korea,Atlas V,2227.2,Earth Observation,True,6.31,GEO
LCH-0000023,MSN-0000023,1998-03-15,1998,1,Cape Canaveral,Germany,GSLV,50.0,Military Reconnaissance,True,0.11,MEO
LCH-0000024,MSN-0000024,1978-03-09,1978,1,Wenchang Space Launch Site,China,Delta IV,187.3,Military Reconnaissance,False,0.22,SSO
LCH-0000025,MSN-0000025,1987-11-28,1987,4,Wenchang Space Launch Site,China,Proton-M,495.4,Technology Demonstration,True,1.27,GEO
LCH-0000026,MSN-0000026,1981-05-06,1981,2,Cape Canaveral,USA,Ariane 5,9370.4,Communications,True,7.31,GEO
LCH-0000027,MSN-0000027,1983-01-27,1983,1,Al Anbar,UAE,Long March 3,593.6,Technology Demonstration,True,1.63,GEO
LCH-0000028,MSN-0000028,1978-09-28,1978,3,Cape Canaveral,USA,Long March 7,5837.5,Communications,False,15.54,Heliocentric
LCH-0000029,MSN-0000029,2020-01-06,2020,1,Kennedy Space Center,Brazil,Long March 2,8671.9,Crewed Mission,True,10.12,SSO
LCH-0000030,MSN-0000030,2020-08-08,2020,3,Satish Dhawan Space Centre,India,Vulcan Centaur,2127.4,Earth Observation,True,5.43,SSO
LCH-0000031,MSN-0000031,2012-07-11,2012,3,Vandenberg SFB,France,Proton-M,6583.2,Communications,True,14.48,SSO
LCH-0000032,MSN-0000032,1968-05-06,1968,2,Tanegashima Space Center,Japan,H-IIA,4665.8,Communications,True,9.29,GTO
LCH-0000033,MSN-0000033,2001-09-04,2001,3,Plesetsk Cosmodrome,Russia,Long March 5,1255.4,Weather,True,1.77,SSO
LCH-0000034,MSN-0000034,1996-06-22,1996,2,Vandenberg SFB,USA,Delta IV,584.1,Technology Demonstration,True,1.27,MEO
LCH-0000035,MSN-0000035,2007-04-14,2007,2,Baikonur Cosmodrome,Russia,NURI,214.4,Technology Demonstration,True,0.32,GTO
LCH-0000036,MSN-0000036,1988-10-20,1988,4,Tanegashima Space Center,Japan,Shavit,1124.2,Communications,True,2.0,LEO
LCH-0000037,MSN-0000037,2015-11-03,2015,4,Satish Dhawan Space Centre,India,Angara,6787.4,Supply/Resupply,True,14.81,GEO
LCH-0000038,MSN-0000038,1967-04-16,1967,2,Cape Canaveral,USA,H3,964.0,Earth Observation,True,2.62,SSO
LCH-0000039,MSN-0000039,1999-07-08,1999,3,Taiyuan Satellite Launch Center,China,Antares,999.9,Technology Demonstration,True,2.45,GEO
LCH-0000040,MSN-0000040,2013-08-02,2013,3,Vandenberg SFB,USA,GSLV,15290.4,Crewed Mission,True,12.74,LEO
LCH-0000041,MSN-0000041,2007-06-25,2007,2,Baikonur Cosmodrome,Russia,Ariane 5,1595.3,Science,True,4.38,GEO
LCH-0000042,MSN-0000042,1991-04-27,1991,2,Satish Dhawan Space Centre,India,Shavit,1069.2,Navigation,True,2.21,LEO
LCH-0000043,MSN-0000043,1993-05-11,1993,2,Cape Canaveral,USA,Long March 2,1900.1,Earth Observation,True,4.31,SSO
LCH-0000044,MSN-0000044,2007-07-02,2007,3,Cape Canaveral,USA,Vulcan Centaur,5554.6,Communications,True,15.91,SSO
LCH-0000045,MSN-0000045,2008-08-01,2008,3,Cape Canaveral,USA,Long March 3,751.4,Military Reconnaissance,True,1.78,LEO
LCH-0000046,MSN-0000046,1988-04-09,1988,2,Xichang Satellite Launch Center,China,Long March 7,3009.6,Science,True,6.95,GEO
LCH-0000047,MSN-0000047,2024-09-01,2024,3,Tanegashima Space Center,Japan,Long March 5,3564.6,Military Reconnaissance,True,3.4,GEO
LCH-0000048,MSN-0000048,2002-06-25,2002,2,Vandenberg SFB,USA,Long March 5,4284.5,Communications,False,4.84,LEO
LCH-0000049,MSN-0000049,2006-06-08,2006,2,Kennedy Space Center,USA,Shavit,1721.1,Earth Observation,True,1.72,LEO
LCH-0000050,MSN-0000050,1981-11-04,1981,4,Cape Canaveral,USA,H-IIA,1439.2,Earth Observation,True,3.48,GTO
LCH-0000051,MSN-0000051,2015-02-25,2015,1,Cape Canaveral,USA,Electron,1959.7,Science,True,5.43,GTO
LCH-0000052,MSN-0000052,1987-10-23,1987,4,Baikonur Cosmodrome,Russia,Shavit,8286.6,Supply/Resupply,True,21.76,LEO
LCH-0000053,MSN-0000053,2024-01-12,2024,1,Jiuquan Satellite Launch Center,China,GSLV,847.2,Earth Observation,True,2.17,LEO
LCH-0000054,MSN-0000054,2011-08-23,2011,3,Vandenberg SFB,USA,Antares,9725.5,Supply/Resupply,True,11.43,LEO
LCH-0000055,MSN-0000055,2004-07-27,2004,3,Tanegashima Space Center,Japan,H-IIA,2811.8,Science,True,3.12,LEO
LCH-0000056,MSN-0000056,1998-01-16,1998,1,Vostochny Cosmodrome,Russia,Long March 2,438.4,Science,True,0.59,LEO
LCH-0000057,MSN-0000057,1992-01-17,1992,1,Cape Canaveral,Germany,Vulcan Centaur,435.1,Technology Demonstration,True,0.92,LEO
LCH-0000058,MSN-0000058,1977-04-13,1977,2,Plesetsk Cosmodrome,Russia,Other,631.2,Weather,False,1.06,LEO
LCH-0000059,MSN-0000059,2015-06-12,2015,2,Wenchang Space Launch Site,China,Other,1798.3,Navigation,True,1.44,LEO
LCH-0000060,MSN-0000060,1986-04-24,1986,2,Wenchang Space Launch Site,China,Ariane 6,1539.3,Weather,True,4.54,LEO
LCH-0000061,MSN-0000061,1997-05-01,1997,2,Tanegashima Space Center,Japan,Other,4176.5,Communications,True,8.75,GEO
LCH-0000062,MSN-0000062,1964-05-16,1964,2,Satish Dhawan Space Centre,India,Ariane 6,3639.5,Earth Observation,True,4.12,LEO
LCH-0000063,MSN-0000063,1974-08-03,1974,3,Kennedy Space Center,France,H-IIA,1929.2,Earth Observation,True,1.38,GEO
LCH-0000064,MSN-0000064,2000-10-26,2000,4,Cape Canaveral,USA,H3,1969.1,Science,True,5.46,LEO
LCH-0000065,MSN-0000065,2001-10-20,2001,4,Vandenberg SFB,USA,Falcon Heavy,1664.0,Science,True,1.93,GEO
LCH-0000066,MSN-0000066,2007-03-01,2007,1,Cape Canaveral,USA,Long March 7,152.5,Communications,True,0.09,LEO
LCH-0000067,MSN-0000067,2020-02-22,2020,1,Cape Canaveral,USA,Soyuz,5659.6,Communications,True,8.85,HEO
LCH-0000068,MSN-0000068,2021-03-03,2021,1,Taiyuan Satellite Launch Center,China,Falcon Heavy,574.8,Science,True,0.92,LEO
LCH-0000069,MSN-0000069,2000-05-17,2000,2,Plesetsk Cosmodrome,Russia,GSLV,5499.1,Communications,True,11.05,GEO
LCH-0000070,MSN-0000070,2012-10-19,2012,4,Cape Canaveral,USA,Falcon 9,5276.2,Communications,True,10.24,Lunar
LCH-0000071,MSN-0000071,2005-08-09,2005,3,Satish Dhawan Space Centre,India,Electron,149.6,Earth Observation,False,0.2,Lunar
LCH-0000072,MSN-0000072,2019-06-14,2019,2,Baikonur Cosmodrome,Russia,Other,715.8,Technology Demonstration,True,1.81,GEO
LCH-0000073,MSN-0000073,1995-06-04,1995,2,Jiuquan Satellite Launch Center,China,Long March 5,2017.4,Navigation,False,3.09,SSO
LCH-0000074,MSN-0000074,2016-11-15,2016,4,Cape Canaveral,USA,Falcon Heavy,4914.5,Communications,True,7.84,LEO
LCH-0000075,MSN-0000075,2024-10-26,2024,4,Guiana Space Centre,ESA,Soyuz,1450.5,Earth Observation,True,4.32,MEO
LCH-0000076,MSN-0000076,1980-03-16,1980,1,Cape Canaveral,UK,Other,2123.2,Navigation,True,5.49,LEO
LCH-0000077,MSN-0000077,2007-07-07,2007,3,Unknown Launch Site,Other,H3,7900.8,Communications,True,10.66,GEO
LCH-0000078,MSN-0000078,1960-12-10,1960,4,Satish Dhawan Space Centre,India,H-IIA,2252.7,Communications,False,3.64,GEO
LCH-0000079,MSN-0000079,2016-07-15,2016,3,Baikonur Cosmodrome,Russia,Long March 2,6466.7,Communications,True,3.94,SSO
LCH-0000080,MSN-0000080,2018-07-22,2018,3,Satish Dhawan Space Centre,India,Shavit,473.3,Technology Demonstration,True,0.39,Heliocentric
LCH-0000081,MSN-0000081,1978-08-04,1978,3,Vandenberg SFB,Italy,PSLV,6110.8,Communications,False,4.2,HEO
LCH-0000082,MSN-0000082,2010-07-21,2010,3,Satish Dhawan Space Centre,India,Atlas V,5107.4,Communications,True,14.74,SSO
LCH-0000083,MSN-0000083,2004-09-02,2004,3,Jiuquan Satellite Launch Center,China,H3,939.8,Military Reconnaissance,False,1.49,LEO
LCH-0000084,MSN-0000084,2020-08-06,2020,3,Cape Canaveral,USA,Other,312.0,Science,True,0.78,LEO
LCH-0000085,MSN-0000085,1982-09-14,1982,3,Vandenberg SFB,USA,H-IIA,5527.9,Communications,True,11.33,GEO
LCH-0000086,MSN-0000086,1982-08-21,1982,3,Vandenberg SFB,USA,Proton-M,5122.9,Military Reconnaissance,True,14.1,LEO
LCH-0000087,MSN-0000087,2002-06-19,2002,2,Guiana Space Centre,ESA,Angara,960.4,Earth Observation,True,2.88,GEO
LCH-0000088,MSN-0000088,1998-06-19,1998,2,Vandenberg SFB,France,Angara,1777.9,Earth Observation,True,2.11,Lunar
LCH-0000089,MSN-0000089,2015-01-20,2015,1,Xichang Satellite Launch Center,China,Ariane 6,925.2,Technology Demonstration,True,0.97,SSO
LCH-0000090,MSN-0000090,2016-11-22,2016,4,Kennedy Space Center,USA,Antares,3019.2,Communications,True,1.81,GEO
LCH-0000091,MSN-0000091,1998-03-03,1998,1,Satish Dhawan Space Centre,India,Angara,1038.1,Earth Observation,True,1.9,LEO
LCH-0000092,MSN-0000092,1991-08-26,1991,3,Cape Canaveral,UK,Angara,3508.5,Deep Space,True,5.86,MEO
LCH-0000093,MSN-0000093,1989-11-24,1989,4,Vandenberg SFB,USA,NURI,2084.5,Weather,True,1.11,Heliocentric
LCH-0000094,MSN-0000094,2012-11-09,2012,4,Jiuquan Satellite Launch Center,China,H-IIA,1704.8,Navigation,True,1.31,LEO
LCH-0000095,MSN-0000095,2020-09-11,2020,3,Kennedy Space Center,USA,H3,2874.8,Earth Observation,True,6.1,LEO
LCH-0000096,MSN-0000096,1970-08-04,1970,3,Cape Canaveral,USA,Delta IV,2076.7,Earth Observation,True,3.39,LEO
LCH-0000097,MSN-0000097,2023-07-19,2023,3,Guiana Space Centre,ESA,Antares,667.3,Weather,True,0.39,SSO
LCH-0000098,MSN-0000098,2023-06-04,2023,2,Vostochny Cosmodrome,Russia,NURI,747.1,Navigation,True,0.49,LEO
LCH-0000099,MSN-0000099,2023-08-03,2023,3,Kennedy Space Center,USA,NURI,4593.0,Supply/Resupply,True,5.09,LEO
LCH-0000100,MSN-0000100,1974-09-07,1974,3,Cape Canaveral,USA,H-IIA,50.0,Science,False,0.12,LEO
LCH-0000101,MSN-0000101,1992-03-05,1992,1,Satish Dhawan Space Centre,India,GSLV,2404.8,Science,True,3.36,LEO
LCH-0000102,MSN-0000102,1965-05-02,1965,2,Satish Dhawan Space Centre,India,Antares,2977.7,Science,False,5.03,MEO
LCH-0000103,MSN-0000103,1979-09-08,1979,3,Satish Dhawan Space Centre,India,H3,2333.0,Navigation,True,4.92,LEO
LCH-0000104,MSN-0000104,2019-07-22,2019,3,Vandenberg SFB,USA,Delta IV,4280.0,Space Station,True,11.76,GEO
LCH-0000105,MSN-0000105,1981-10-21,1981,4,Plesetsk Cosmodrome,Russia,H-IIA,323.1,Earth Observation,True,0.57,GEO
LCH-0000106,MSN-0000106,1980-11-21,1980,4,Vostochny Cosmodrome,Russia,GSLV,2639.5,Weather,True,7.18,MEO
LCH-0000107,MSN-0000107,1999-12-04,1999,4,Baikonur Cosmodrome,Russia,Long March 2,12538.1,Crewed Mission,True,8.37,LEO
LCH-0000108,MSN-0000108,1978-12-12,1978,4,Tanegashima Space Center,Japan,Antares,832.9,Earth Observation,True,1.81,GEO
LCH-0000109,MSN-0000109,2022-07-28,2022,3,Baikonur Cosmodrome,Russia,Falcon Heavy,2496.5,Military Reconnaissance,True,2.21,GTO
LCH-0000110,MSN-0000110,1997-09-12,1997,3,Plesetsk Cosmodrome,Russia,Delta IV,2176.3,Deep Space,True,5.69,MEO
LCH-0000111,MSN-0000111,2010-11-18,2010,4,Cape Canaveral,Brazil,Falcon 9,10791.9,Crewed Mission,True,24.35,GEO
LCH-0000112,MSN-0000112,1962-03-19,1962,1,Vandenberg SFB,USA,NURI,2425.9,Communications,True,7.11,LEO
LCH-0000113,MSN-0000113,1998-08-11,1998,3,Kennedy Space Center,USA,Electron,1523.3,Science,True,4.13,LEO
LCH-0000114,MSN-0000114,1972-02-09,1972,1,Kennedy Space Center,USA,Ariane 5,347.8,Weather,True,0.53,GEO
LCH-0000115,MSN-0000115,1996-02-10,1996,1,Kennedy Space Center,USA,NURI,817.6,Navigation,True,2.42,GEO
LCH-0000116,MSN-0000116,2023-03-25,2023,1,Kennedy Space Center,USA,Proton-M,1599.5,Earth Observation,True,3.79,LEO
LCH-0000117,MSN-0000117,2014-09-18,2014,3,Vandenberg SFB,USA,NURI,8577.7,Communications,True,14.15,SSO
LCH-0000118,MSN-0000118,2001-07-23,2001,3,Cape Canaveral,USA,Shavit,6740.9,Communications,True,19.65,LEO
